Sr.no,imdb_id,tags,lemmatized_tags,lemmatized_tags_str,Vectorized_Tokens
1006,tt1267400,Thodi Life Thoda Magic  Saahil ChadhaArbaaz KhanDaya Shankar PandeyAchyut PotdarAnita RajParmeet SethiJackie Shroff 2008 Regular Movie Drama Not Adult 5,"['Thodi', 'Life', 'Thoda', 'Magic', 'Saahil', 'ChadhaArbaaz', 'KhanDaya', 'Shankar', 'PandeyAchyut', 'PotdarAnita', 'RajParmeet', 'SethiJackie', 'Shroff', '2008', 'Regular', 'Movie', 'Drama', 'Not', 'Adult', '5']",thodi life thoda magic saahil chadhaarbaaz khandaya shankar pandeyachyut potdaranita rajparmeet sethijackie shroff 2008 regular movie drama not adult 5,[0. 0. 0. ... 0. 0. 0.]
1007,tt1191138,Thoda Pyaar Thoda Magic  Saif Ali KhanRani MukerjiRishi KapoorAkshat ChopraShriya SharmaRachit SidanaAyushi BurmanAmeesha PatelSharat SaxenaMahesh ThakurRazak KhanTaraana RajaYash BelaniJyoti Gauba 2008 Regular Movie ComedyDramaFamily Not Adult 5,"['Thoda', 'Pyaar', 'Thoda', 'Magic', 'Saif', 'Ali', 'KhanRani', 'MukerjiRishi', 'KapoorAkshat', 'ChopraShriya', 'SharmaRachit', 'SidanaAyushi', 'BurmanAmeesha', 'PatelSharat', 'SaxenaMahesh', 'ThakurRazak', 'KhanTaraana', 'RajaYash', 'BelaniJyoti', 'Gauba', '2008', 'Regular', 'Movie', 'ComedyDramaFamily', 'Not', 'Adult', '5']",thoda pyaar thoda magic saif ali khanrani mukerjirishi kapoorakshat choprashriya sharmarachit sidanaayushi burmanameesha patelsharat saxenamahesh thakurrazak khantaraana rajayash belanijyoti gauba 2008 regular movie comedydramafamily not adult 5,[0. 0. 0. ... 0. 0. 0.]
1008,tt1220718,Via Darjeeling  Kay Kay MenonSonali KulkarniParvin DabasVinay PathakRajat KapoorSandhya MridulSimone SinghPrashant NarayananArindam SilPrabuddha BanerjeeRupam IslamVarsha KrishnaniRahul MishraSweety Singh 2008 Regular Movie DramaMysteryThriller Not Adult 4,"['Via', 'Darjeeling', 'Kay', 'Kay', 'MenonSonali', 'KulkarniParvin', 'DabasVinay', 'PathakRajat', 'KapoorSandhya', 'MridulSimone', 'SinghPrashant', 'NarayananArindam', 'SilPrabuddha', 'BanerjeeRupam', 'IslamVarsha', 'KrishnaniRahul', 'MishraSweety', 'Singh', '2008', 'Regular', 'Movie', 'DramaMysteryThriller', 'Not', 'Adult', '4']",via darjeeling kay kay menonsonali kulkarniparvin dabasvinay pathakrajat kapoorsandhya mridulsimone singhprashant narayananarindam silprabuddha banerjeerupam islamvarsha krishnanirahul mishrasweety singh 2008 regular movie dramamysterythriller not adult 4,[0. 0. 0. ... 0. 0. 0.]
1009,tt1105733,Kismat Konnection  Shahid KapoorVidya BalanVishal MalhotraOm PuriHimani ShivpuriHaidar AliShehnaz AnandJuhi ChawlaKaranvir BohraAmit VarmaDimple Sharma 2008 Long Movie ComedyDramaRomance Not Adult 3,"['Kismat', 'Konnection', 'Shahid', 'KapoorVidya', 'BalanVishal', 'MalhotraOm', 'PuriHimani', 'ShivpuriHaidar', 'AliShehnaz', 'AnandJuhi', 'ChawlaKaranvir', 'BohraAmit', 'VarmaDimple', 'Sharma', '2008', 'Long', 'Movie', 'ComedyDramaRomance', 'Not', 'Adult', '3']",kismat konnection shahid kapoorvidya balanvishal malhotraom purihimani shivpurihaidar alishehnaz anandjuhi chawlakaranvir bohraamit varmadimple sharma 2008 long movie comedydramaromance not adult 3,[0. 0. 0. ... 0. 0. 0.]
1010,tt0490170,Love Story 2050  Harman BawejaPriyanka ChopraBoman IraniArchana Puran Singh 2008 Long Movie ActionAdventureDrama Not Adult 5,"['Love', 'Story', '2050', 'Harman', 'BawejaPriyanka', 'ChopraBoman', 'IraniArchana', 'Puran', 'Singh', '2008', 'Long', 'Movie', 'ActionAdventureDrama', 'Not', 'Adult', '5']",love story 2050 harman bawejapriyanka chopraboman iraniarchana puran singh 2008 long movie actionadventuredrama not adult 5,[0. 0. 0. ... 0. 0. 0.]
1011,tt1242843,Contract  Adhvik MahajanSakshi GulatiAmruta Khanvilkar 2008 Regular Movie ActionCrimeDrama Not Adult 5,"['Contract', 'Adhvik', 'MahajanSakshi', 'GulatiAmruta', 'Khanvilkar', '2008', 'Regular', 'Movie', 'ActionCrimeDrama', 'Not', 'Adult', '5']",contract adhvik mahajansakshi gulatiamruta khanvilkar 2008 regular movie actioncrimedrama not adult 5,[0. 0. 0. ... 0. 0. 0.]
1012,tt1179781,Mission Istaanbul Darr Ke Aagey Jeet Hai  Vivek OberoiZayed KhanShriya SaranShabbir AhluwaliaNikitin DheerSunil ShettyShweta Bhardwaj 2008 Regular Movie ActionAdventureDrama Not Adult 5,"['Mission', 'Istaanbul', 'Darr', 'Ke', 'Aagey', 'Jeet', 'Hai', 'Vivek', 'OberoiZayed', 'KhanShriya', 'SaranShabbir', 'AhluwaliaNikitin', 'DheerSunil', 'ShettyShweta', 'Bhardwaj', '2008', 'Regular', 'Movie', 'ActionAdventureDrama', 'Not', 'Adult', '5']",mission istaanbul darr ke aagey jeet hai vivek oberoizayed khanshriya saranshabbir ahluwalianikitin dheersunil shettyshweta bhardwaj 2008 regular movie actionadventuredrama not adult 5,[0. 0. 0. ... 0. 0. 0.]
1013,tt1126516,Money Hai Toh Honey Hai  GovindaManoj BajpayeeAftab ShivdasaniUpen PatelCelina JaitlyHansika MotwaniRavi KishanPrem ChopraKim SharmaArchana Puran SinghSophiya ChaudharyShruti SharmaEsha Deol 2008 Regular Movie ComedyDrama Not Adult 5,"['Money', 'Hai', 'Toh', 'Honey', 'Hai', 'GovindaManoj', 'BajpayeeAftab', 'ShivdasaniUpen', 'PatelCelina', 'JaitlyHansika', 'MotwaniRavi', 'KishanPrem', 'ChopraKim', 'SharmaArchana', 'Puran', 'SinghSophiya', 'ChaudharyShruti', 'SharmaEsha', 'Deol', '2008', 'Regular', 'Movie', 'ComedyDrama', 'Not', 'Adult', '5']",money hai toh honey hai govindamanoj bajpayeeaftab shivdasaniupen patelcelina jaitlyhansika motwaniravi kishanprem choprakim sharmaarchana puran singhsophiya chaudharyshruti sharmaesha deol 2008 regular movie comedydrama not adult 5,[0. 0. 0. ... 0. 0. 0.]
1014,tt0476550,God Tussi Great Ho  Amitabh BachchanSalman KhanPriyanka ChopraAnupam KherBeena KakRukhsar Rehman 2008 Long Movie ComedyDramaFantasy Not Adult 5,"['God', 'Tussi', 'Great', 'Ho', 'Amitabh', 'BachchanSalman', 'KhanPriyanka', 'ChopraAnupam', 'KherBeena', 'KakRukhsar', 'Rehman', '2008', 'Long', 'Movie', 'ComedyDramaFantasy', 'Not', 'Adult', '5']",god tussi great ho amitabh bachchansalman khanpriyanka chopraanupam kherbeena kakrukhsar rehman 2008 long movie comedydramafantasy not adult 5,[0. 0. 0. ... 0. 0. 0.]
1015,tt1266583,Mumbai Meri Jaan  Paresh RawalKay Kay MenonIrrfan KhanMadhavanSoha Ali KhanSachin PathakSantosh JuvekarKavin DaveSyed Rizwan AhmedRajesh BhosleSaksham DaymaAakashJeetendra RaiSameer Dharmadhikari 2008 Regular Movie Drama Not Adult 1,"['Mumbai', 'Meri', 'Jaan', 'Paresh', 'RawalKay', 'Kay', 'MenonIrrfan', 'KhanMadhavanSoha', 'Ali', 'KhanSachin', 'PathakSantosh', 'JuvekarKavin', 'DaveSyed', 'Rizwan', 'AhmedRajesh', 'BhosleSaksham', 'DaymaAakashJeetendra', 'RaiSameer', 'Dharmadhikari', '2008', 'Regular', 'Movie', 'Drama', 'Not', 'Adult', '1']",mumbai meri jaan paresh rawalkay kay menonirrfan khanmadhavansoha ali khansachin pathaksantosh juvekarkavin davesyed rizwan ahmedrajesh bhoslesaksham daymaaakashjeetendra raisameer dharmadhikari 2008 regular movie drama not adult 1,[0. 0. 0. ... 0. 0. 0.]
1016,tt1132595,Maan Gaye MughallEAzam  Mallika SherawatRahul BoseParesh RawalKay Kay Menon 2008 Regular Movie ComedyCrimeDrama Not Adult 5,"['Maan', 'Gaye', 'MughallEAzam', 'Mallika', 'SherawatRahul', 'BoseParesh', 'RawalKay', 'Kay', 'Menon', '2008', 'Regular', 'Movie', 'ComedyCrimeDrama', 'Not', 'Adult', '5']",maan gaye mughalleazam mallika sherawatrahul boseparesh rawalkay kay menon 2008 regular movie comedycrimedrama not adult 5,[0. 0. 0. ... 0. 0. 0.]
1017,tt1230165,Rock On  Arjun RampalFarhan AkhtarLuke KennyPurab KohliPrachi DesaiShahana GoswamiKoel PurieNicolette BirdSai Gundewar 2008 Regular Movie DramaMusic Not Adult 1,"['Rock', 'On', 'Arjun', 'RampalFarhan', 'AkhtarLuke', 'KennyPurab', 'KohliPrachi', 'DesaiShahana', 'GoswamiKoel', 'PurieNicolette', 'BirdSai', 'Gundewar', '2008', 'Regular', 'Movie', 'DramaMusic', 'Not', 'Adult', '1']",rock on arjun rampalfarhan akhtarluke kennypurab kohliprachi desaishahana goswamikoel purienicolette birdsai gundewar 2008 regular movie dramamusic not adult 1,[0. 0. 0. ... 0. 0. 0.]
1018,tt1170399,C Kkompany  Tusshar KapoorAnupam KherRajpal YadavRaima SenMithun Chakraborty 2008 Regular Movie ComedyDramaThriller Not Adult 4,"['C', 'Kkompany', 'Tusshar', 'KapoorAnupam', 'KherRajpal', 'YadavRaima', 'SenMithun', 'Chakraborty', '2008', 'Regular', 'Movie', 'ComedyDramaThriller', 'Not', 'Adult', '4']",c kkompany tusshar kapooranupam kherrajpal yadavraima senmithun chakraborty 2008 regular movie comedydramathriller not adult 4,[0. 0. 0. ... 0. 0. 0.]
