Sr.no,imdb_id,original_title,actors,is_adult,year_of_release,runtime,genres,review
1308,tt0442855,Vaada,"Arjun Rampal,Zayed Khan,Ameesha Patel,Alok Nath,Rakesh Bedi,Virendra Saxena,Rajesh Vivek,",Not Adult,2005,Regular Movie,"Crime,Drama,Mystery",4
1309,tt0475645,Vaah! Life Ho Toh Aisi!,"Shahid Kapoor,Amrita Rao,Sanjay Dutt,Arshad Warsi,Satya Manjrekar,Suhasini Mulay,Prem Chopra,Sharat Saxena,Mohnish Bahl,Ekta Sohini,Vivek Shauq,Upasna Singh,Rajat Bedi,Shweta Basu Prasad,",Not Adult,2005,Long Movie,"Comedy,Drama,Family",5
1310,tt0466398,Ssukh,"Aarti Chhabria,Jackie Shroff,",Not Adult,2005,Regular Movie,"Comedy,Family,Romance",4
1311,tt0449389,Shaadi No. 1,"Fardeen Khan,Zayed Khan,Sharman Joshi,Esha Deol,Soha Ali Khan,Ayesha Takia,Sophiya Chaudhary,Riya Sen,Aarti Chhabria,Sanjay Dutt,",Not Adult,2005,Regular Movie,Comedy,5
1312,tt0420304,Viruddh... Family Comes First,"Amitabh Bachchan,Sharmila Tagore,John Abraham,Sanjay Dutt,Anusha Dhandekar,Prem Chopra,Sharat Saxena,Beena Banerjee,Shivaji Satam,Sachin Khedekar,Amitabh Dayal,",Not Adult,2005,Regular Movie,"Drama,Family",3
1313,tt0390614,Waqt: The Race Against Time,"Amitabh Bachchan,Akshay Kumar,Priyanka Chopra,Shefali Shah,Boman Irani,Rajpal Yadav,",Not Adult,2005,Long Movie,"Comedy,Drama,Family",3
1314,tt1483815,Vidhyaarthi: The Power of Students,"Vikram Aditya,Akash Ajmera,Ishrat Ali,Rajesh Bakshi,Sarah Ghagare,Tina Ghai,Brij Gopal,Mohan Joshi,Baby Richa Madhusudan,Mac Mohan,Govind Namdeo,Harish Patel,Vishwajeet Pradhan,Baby Sneha Rao,",Not Adult,2006,Long Movie,Action,4
1315,tt0453978,Yakeen,"Arjun Rampal,Priyanka Chopra,Kim Sharma,Sudhanshu Pandey,Saurabh Shukla,Anang Desai,Atul Parchure,",Not Adult,2005,Regular Movie,"Drama,Thriller",4
1316,tt0451983,Zeher,"Emraan Hashmi,Shamita Shetty,Udita Goswami,Sameer Kochhar,",Not Adult,2005,Regular Movie,"Crime,Drama,Mystery",3
1317,tt0420332,Veer-Zaara,"Shah Rukh Khan,Preity Zinta,Rani Mukerji,Kiron Kher,Divya Dutta,Boman Irani,Anupam Kher,Amitabh Bachchan,Hema Malini,Manoj Bajpayee,Zohra Sehgal,S.M. Zaheer,Tom Alter,Akhilendra Mishra,",Not Adult,2004,Long Movie,"Drama,Family,Musical",1
1318,tt0347473,Main Hoon Na,"Shah Rukh Khan,Sushmita Sen,Sunil Shetty,Zayed Khan,Amrita Rao,Kabir Bedi,Naseeruddin Shah,Boman Irani,Bindu,Satish Shah,Kiron Kher,Nassar Abdulla,Kunal Kumar,Rajiv Panjabi,",Not Adult,2004,Long Movie,"Action,Comedy,Drama",3
1319,tt0449447,Zameer,"Ajay Devgn,Ameesha Patel,Mahima Chaudhry,",Not Adult,2005,Regular Movie,"Drama,Romance",5
1320,tt0418362,Mujhse Shaadi Karogi,"Salman Khan,Akshay Kumar,Priyanka Chopra,Amrish Puri,Satish Shah,Rajpal Yadav,",Not Adult,2004,Long Movie,"Comedy,Drama,Musical",3
1321,tt0422091,Dhoom,"Abhishek Bachchan,John Abraham,Uday Chopra,Esha Deol,Rimi Sen,Manoj Joshi,Sanjay M. Singh,Amir Farid,Mehul Bhojak,Rohit Chopra,Palash Dutta,Sanjay Keni,Ajay Padhe,Ayesha Raza,",Not Adult,2004,Regular Movie,"Action,Crime,Thriller",3
1322,tt0347332,Khakee,"Amitabh Bachchan,Akshay Kumar,Ajay Devgn,Aishwarya Rai Bachchan,Tusshar Kapoor,Atul Kulkarni,Jaya Prada,Lara Dutta,Prakash Raj,Sabyasachi Chakrabarty,Tanuja,Ashwini Kalsekar,Radhika Menon,D. Santosh,",Not Adult,2004,Long Movie,"Action,Crime,Drama",3
1323,tt0378072,Hum Tum,"Saif Ali Khan,Rani Mukerji,Kiron Kher,Rati Agnihotri,Rishi Kapoor,Jimmy Sheirgill,Abhishek Bachchan,Isha Koppikar,Shenaz Treasury,Bhupesh Singh,Parinita Seth,Shilpa Mehta,Bomi Kapadia,Gulshan,",Not Adult,2004,Regular Movie,"Comedy,Drama,Romance",3
1324,tt0437238,Hulchul,"Akshaye Khanna,Kareena Kapoor,Sunil Shetty,Paresh Rawal,Jackie Shroff,Amrish Puri,Arshad Warsi,Arbaaz Khan,Lakshmi,Farha Naaz,Shakti Kapoor,Manoj Joshi,Asrani,Akhilendra Mishra,",Not Adult,2004,Regular Movie,"Action,Comedy,Drama",3
